Latitude,Longitude,Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
51.49224823,-0.147114753,WMD,PM2.5,1/1/2025 0:00,4,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,2/1/2025 0:00,7,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,3/1/2025 0:00,11,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,4/1/2025 0:00,9,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,5/1/2025 0:00,1,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,6/1/2025 0:00,4,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,7/1/2025 0:00,6,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,8/1/2025 0:00,10,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,9/1/2025 0:00,13,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,10/1/2025 0:00,22,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,11/1/2025 0:00,44,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,12/1/2025 0:00,30,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,13/01/2025 00:00,8,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,14/01/2025 00:00,11,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,15/01/2025 00:00,11,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,16/01/2025 00:00,8,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,17/01/2025 00:00,13,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,18/01/2025 00:00,23,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,19/01/2025 00:00,19,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,20/01/2025 00:00,15,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,21/01/2025 00:00,19,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,22/01/2025 00:00,25,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,23/01/2025 00:00,9,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,24/01/2025 00:00,8,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,25/01/2025 00:00,9,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,26/01/2025 00:00,6,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,27/01/2025 00:00,4,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,28/01/2025 00:00,5,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,29/01/2025 00:00,7,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,30/01/2025 00:00,7,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,31/01/2025 00:00,6,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,1/2/2025 0:00,8,ug/m3,R
